30 × 30 Termination Act,2021-05-18T04:00:00+00:00,2021-05-18T04:00:00+00:00,Introduced in Senate
FUTURE Western Water Infrastructure and Drought Resiliency Act,2021-05-20T04:00:00+00:00,2021-07-05T04:00:00+00:00,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
Tradeable Performance Standard Act,2021-03-11T05:00:00+00:00,2021-03-12T05:00:00+00:00,Referred to the Subcommittee on Environment and Climate Change.
National Wildland Fire Risk Reduction Program Act,2021-10-28T04:00:00+00:00,2021-11-16T05:00:00+00:00,Committee Consideration and Mark-up Session Held.
Extinction Crisis Emergency Act of 2021,2021-06-25T04:00:00+00:00,2021-07-24T04:00:00+00:00,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
BLUE Pacific Act,2021-05-04T04:00:00+00:00,2021-05-04T04:00:00+00:00,Introduced in House
Safe Schools Improvement Act of 2021,2021-07-21T04:00:00+00:00,2021-07-21T04:00:00+00:00,Introduced in Senate
America's Clean Future Fund Act,2021-04-12T04:00:00+00:00,2021-04-13T04:00:00+00:00,Referred to the Subcommittee on Highways and Transit.
MARKET CHOICE Act,2021-05-07T04:00:00+00:00,2022-07-05T04:00:00+00:00,Referred to the Subcommittee on Energy and Mineral Resources.
NEXT in Transportation Act,2021-10-26T04:00:00+00:00,2021-10-26T04:00:00+00:00,Introduced in Senate
Marine Mammal Climate Change Protection Act,2021-06-04T04:00:00+00:00,2021-07-13T04:00:00+00:00,"Referred to the Subcommittee on National Parks, Forests, and Public Lands."
"Build Local, Hire Local Act",2021-05-25T04:00:00+00:00,2021-07-01T04:00:00+00:00,"Referred to the Subcommittee on Commodity Exchanges, Energy, and Credit."
Twenty-First Century Dams Act,2021-07-09T04:00:00+00:00,2021-08-11T04:00:00+00:00,Referred to the Subcommittee on Conservation and Forestry.
Expressing support for the designation of September 2021 as National Campus Sexual Assault Awareness Month.,2021-09-10T04:00:00+00:00,2021-09-10T04:00:00+00:00,Introduced in House
Israel Relations Normalization Act of 2021,2021-03-25T04:00:00+00:00,2021-06-24T04:00:00+00:00,Committee on Foreign Relations. Ordered to be reported with an amendment favorably.
Growing Climate Solutions Act of 2021,2021-04-20T04:00:00+00:00,2021-06-24T20:45:22+00:00,Held at the desk.
Wildfire Emergency Act of 2021,2021-05-25T04:00:00+00:00,2021-07-07T04:00:00+00:00,Referred to the Subcommittee on Conservation and Forestry.
Civilian Climate Corps Act of 2021,2021-03-26T04:00:00+00:00,2021-06-15T04:00:00+00:00,Referred to the Subcommittee on Conservation and Forestry.
United States Innovation and Competition Act of 2021,2021-04-20T04:00:00+00:00,2021-06-08T04:00:00+00:00,Considered by Senate. (consideration: CR S3975-3980)
"Expressing the sense of the House of Representatives that it is the duty of the Department of Defense to reduce the overall environmental impact of all military activities and missions, and for other purposes.",2021-11-03T04:00:00+00:00,2021-11-03T04:00:00+00:00,Introduced in House
Energy Resource Governance Initiative Act of 2021,2021-04-22T04:00:00+00:00,2021-05-19T04:00:00+00:00,Committee Consideration and Mark-up Session Held.
Sustainable International Financial Institutions Act of 2021,2021-10-28T04:00:00+00:00,2021-10-28T04:00:00+00:00,Introduced in House
Ending PUSHOUT Act of 2021,2021-03-26T04:00:00+00:00,2021-03-26T04:00:00+00:00,Introduced in House
Counseling Not Criminalization in Schools Act,2021-06-17T04:00:00+00:00,2021-06-17T04:00:00+00:00,Introduced in House
Livable Communities Act of 2021,2021-08-05T04:00:00+00:00,2022-08-04T04:00:00+00:00,"Committee on Banking, Housing, and Urban Affairs. Hearings held."
Surface Transportation Investment Act of 2021,2021-06-10T04:00:00+00:00,2021-12-17T05:00:00+00:00,"Committee on Commerce, Science, and Transportation. Reported by Senator Cantwell with an amendment in the nature of a substitute. Without written report."
Protecting our Students in Schools Act of 2021,2021-06-11T04:00:00+00:00,2021-06-11T04:00:00+00:00,Introduced in House
Global Investment in American Jobs Act of 2021,2021-04-30T04:00:00+00:00,2021-05-03T04:00:00+00:00,Referred to the Subcommittee on Consumer Protection and Commerce.
Environmental Justice For All Act,2021-03-18T04:00:00+00:00,2022-07-27T04:00:00+00:00,Committee Consideration and Mark-up Session Held.
Driftless Area Landscape Conservation Initiative Act,2021-12-07T05:00:00+00:00,2022-01-04T05:00:00+00:00,Referred to the Subcommittee on Conservation and Forestry.
Expeditionary Diplomacy Act of 2021,2021-03-10T05:00:00+00:00,2021-03-10T05:00:00+00:00,Introduced in Senate
Third Reconstruction: Fully addressing poverty and low wages from the bottom up.,2021-05-25T04:00:00+00:00,2021-05-25T04:00:00+00:00,Introduced in House
Keep America’s Waterfronts Working Act,2021-05-12T04:00:00+00:00,2021-06-22T04:00:00+00:00,Committee Hearings Held.
Turkey Human Rights Promotion Act of 2021,2021-07-20T04:00:00+00:00,2021-07-20T04:00:00+00:00,Introduced in House
Blue Carbon for Our Planet Act,2021-04-22T04:00:00+00:00,2021-06-22T04:00:00+00:00,Committee Hearings Held.
Climate Agricultural Conservation Practices Act,2021-04-22T04:00:00+00:00,2021-04-22T04:00:00+00:00,Introduced in House
Climate Justice Grants Act,2021-04-12T04:00:00+00:00,2021-04-13T04:00:00+00:00,Referred to the Subcommittee on Environment and Climate Change.
Manufacturing Reinvestment Corporation Act,2021-08-27T04:00:00+00:00,2021-09-14T04:00:00+00:00,"Referred to the Subcommittee on Nutrition, Oversight, and Department Operations."
Preventing Our Next Natural Disaster Act,2021-12-02T05:00:00+00:00,2021-12-02T05:00:00+00:00,Introduced in House
Buy Green Act of 2021,2021-05-27T04:00:00+00:00,2022-08-04T04:00:00+00:00,"Committee on Banking, Housing, and Urban Affairs. Hearings held."
Infrastructure Investment and Jobs Act,2021-06-04T04:00:00+00:00,2022-08-04T04:00:00+00:00,"Committee on Banking, Housing, and Urban Affairs. Hearings held."
BUILD GREEN Infrastructure and Jobs Act,2021-03-18T04:00:00+00:00,2022-08-04T04:00:00+00:00,"Committee on Banking, Housing, and Urban Affairs. Hearings held."
Fishery Resource Disasters Improvement Act,2021-09-30T04:00:00+00:00,2021-10-03T04:00:00+00:00,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
U.S. Citizenship Act,2021-02-18T05:00:00+00:00,2021-04-28T04:00:00+00:00,Referred to the Subcommittee on Immigration and Citizenship.
National Coastal Resilience Data and Services Act,2021-05-13T04:00:00+00:00,2022-01-19T05:00:00+00:00,"Subcommittee on Water, Oceans, and Wildlife Discharged."
Climate Emergency Act of 2021,2021-02-04T05:00:00+00:00,2021-02-05T05:00:00+00:00,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management."
Northern Rockies Ecosystem Protection Act,2021-03-10T05:00:00+00:00,2021-05-12T04:00:00+00:00,"Referred to the Subcommittee on National Parks, Forests, and Public Lands."
Surface Transportation Reauthorization Act of 2021,2021-05-27T04:00:00+00:00,2021-05-27T04:00:00+00:00,Introduced in Senate
Green Transportation Act,2021-05-11T04:00:00+00:00,2021-05-12T04:00:00+00:00,Referred to the Subcommittee on Highways and Transit.
Ocean-Based Climate Solutions Act of 2021,2021-06-08T04:00:00+00:00,2021-07-14T04:00:00+00:00,Committee Consideration and Mark-up Session Held.
Rural Energy for America Program (REAP) Improvement Act of 2021,2021-06-24T04:00:00+00:00,2021-06-24T04:00:00+00:00,Introduced in Senate
Turkey Human Rights Promotion Act of 2021,2021-07-20T04:00:00+00:00,2021-07-20T04:00:00+00:00,Introduced in Senate
Surface Transportation Reauthorization Act of 2021,2021-05-26T04:00:00+00:00,2021-10-06T04:00:00+00:00,By Senator Carper from Committee on Environment and Public Works filed written report. Report No. 117-41.
Rural Energy for America Program (REAP) Improvement Act of 2021,2021-06-24T04:00:00+00:00,2021-07-22T04:00:00+00:00,"Referred to the Subcommittee on Commodity Exchanges, Energy, and Credit."
Housing is Infrastructure Act of 2021,2021-07-16T04:00:00+00:00,2021-07-22T04:00:00+00:00,Sponsor introductory remarks on measure. (CR E800-801)
Trillion Trees Act,2021-04-19T04:00:00+00:00,2021-06-15T04:00:00+00:00,Referred to the Subcommittee on Conservation and Forestry.
National Defense Authorization Act for Fiscal Year 2022,2021-07-02T04:00:00+00:00,2022-03-01T05:00:00+00:00,Returned to the Calendar. Calendar No. 144.
FOREST Act of 2021,2021-10-06T04:00:00+00:00,2021-10-06T04:00:00+00:00,Introduced in Senate
A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2022 and setting forth the appropriate budgetary levels for fiscal years 2023 through 2031.,2021-08-09T04:00:00+00:00,2021-08-24T20:11:53+00:00,"Passed/agreed to in House: Pursuant to the provisions of H. Res. 601, S. Con. Res. 14 is considered passed House.(text: CR H4372-4384)"
Agriculture Resilience Act of 2021,2021-04-22T04:00:00+00:00,2021-04-22T04:00:00+00:00,Introduced in Senate
BE HEARD in the Workplace Act,2021-11-17T05:00:00+00:00,2021-11-29T05:00:00+00:00,Referred to the Subcommittee on Oversight and Investigations.
National Defense Authorization Act for Fiscal Year 2022,2021-09-22T04:00:00+00:00,2021-09-22T04:00:00+00:00,Introduced in Senate
Native Plant Species Pilot Program Act of 2021,2021-03-03T05:00:00+00:00,2022-07-21T04:00:00+00:00,Committee on Energy and Natural Resources. Ordered to be reported with an amendment in the nature of a substitute favorably.
Alaska Offshore Parity Act,2021-10-19T04:00:00+00:00,2022-07-21T04:00:00+00:00,Committee on Energy and Natural Resources. Ordered to be reported with amendments favorably.
Hydropower Clean Energy Future Act,2021-03-03T05:00:00+00:00,2021-03-04T05:00:00+00:00,Referred to the Subcommittee on Energy.
Healthy Soils Healthy Climate Act of 2021,2021-04-22T04:00:00+00:00,2021-04-22T04:00:00+00:00,Introduced in Senate
Patsy T. Mink and Louise M. Slaughter Gender Equity in Education Act of 2021,2021-06-23T04:00:00+00:00,2021-06-23T04:00:00+00:00,Introduced in House
AMAZON21 Act,2021-11-03T04:00:00+00:00,2021-11-03T04:00:00+00:00,Introduced in House
Castner Range National Monument Act,2021-04-22T04:00:00+00:00,2021-06-15T04:00:00+00:00,"Referred to the Subcommittee on National Parks, Forests, and Public Lands."
Comprehensive National Mercury Monitoring Act,2021-04-22T04:00:00+00:00,2022-07-13T04:00:00+00:00,Committee on Environment and Public Works. Hearings held.
Clean Cooking Support Act,2021-11-18T05:00:00+00:00,2021-11-18T05:00:00+00:00,Introduced in Senate
Clean Cooking Support Act,2021-12-16T05:00:00+00:00,2021-12-17T05:00:00+00:00,Referred to the Subcommittee on Energy.
EDUCATORS for America Act,2021-12-09T05:00:00+00:00,2021-12-09T05:00:00+00:00,Introduced in House
Climate Change Financial Risk Act of 2021,2021-05-28T04:00:00+00:00,2021-05-31T04:00:00+00:00,Referred to the Subcommittee on Environment and Climate Change.
"To provide for the withdrawal of the United States from the United Nations Framework Convention on Climate Change, and for other purposes.",2021-04-22T04:00:00+00:00,2021-04-22T04:00:00+00:00,Introduced in House
Retirees Sustainable Investment Opportunities Act of 2021,2021-05-28T04:00:00+00:00,2021-05-28T04:00:00+00:00,Introduced in House
Keeping All Students Safe Act,2021-05-26T04:00:00+00:00,2021-05-26T04:00:00+00:00,Introduced in Senate
GREEN Communications Act,2021-04-29T04:00:00+00:00,2021-04-29T04:00:00+00:00,Introduced in Senate
National Defense Authorization Act for Fiscal Year 2022,2021-05-13T04:00:00+00:00,2021-12-27T05:00:00+00:00,Signed by President.
REVIVE the CCC Act,2021-09-07T04:00:00+00:00,2021-09-07T04:00:00+00:00,Introduced in House
