,Race,Date,deaths
230,Hispanic,2015-03-08,2
231,White,2015-02-21,2
232,Hispanic,2015-04-20,2
233,Hispanic,2015-09-21,2
234,Hispanic,2015-04-21,2
235,Hispanic,2015-04-22,2
236,White,2015-03-29,2
237,Hispanic,2015-06-08,2
238,Hispanic,2015-05-17,2
239,White,2015-02-22,2
240,Hispanic,2015-05-21,2
241,Black,2015-10-14,2
242,Hispanic,2015-09-10,2
243,Black,2015-12-10,2
244,White,2015-05-03,2
245,White,2015-03-14,2
246,Black,2015-12-15,2
247,Black,2015-12-19,2
248,White,2015-05-07,2
249,Black,2015-12-24,2
250,Black,2015-12-26,2
251,Hispanic,2015-07-30,2
252,White,2015-05-05,2
253,White,2015-05-04,2
254,Hispanic,2015-01-04,2
255,Hispanic,2015-07-22,2
256,White,2015-04-18,2
257,Hispanic,2015-01-11,2
258,White,2015-04-29,2
259,Hispanic,2015-01-17,2
260,Hispanic,2015-01-31,2
261,Hispanic,2015-07-13,2
262,Hispanic,2015-02-17,2
263,Hispanic,2015-02-20,2
264,White,2015-04-21,2
265,Hispanic,2015-02-26,2
266,Hispanic,2015-02-27,2
267,Black,2015-08-27,2
268,Black,2015-06-22,2
269,White,2015-05-28,2
270,White,2015-10-04,2
271,White,2015-09-25,2
272,Hispanic,2015-12-21,2
273,White,2015-09-29,2
274,Hispanic,2015-12-22,2
275,Asian,2015-01-02,2
276,White,2015-01-24,2
277,Hispanic,2015-12-26,2
278,White,2015-01-22,2
279,,2015-12-10,2
280,,2015-12-09,2
281,Hispanic,2015-12-30,2
282,White,2015-10-12,2
283,,2015-10-09,2
284,White,2015-10-18,2
285,Hispanic,2015-12-20,2
286,White,2015-09-19,2
287,Asian,2015-12-14,2
288,Asian,2015-12-29,2
289,Black,2015-01-06,2
290,White,2015-09-16,2
291,Black,2015-01-17,2
292,White,2015-09-13,2
293,White,2015-09-11,2
294,White,2015-01-26,2
295,Black,2015-01-31,2
296,Black,2015-02-07,2
297,Black,2015-02-09,2
298,White,2015-09-02,2
299,White,2015-09-01,2
300,White,2015-08-31,2
301,White,2015-08-30,2
302,Native,2015-01-27,2
303,Native,2015-03-20,2
304,Black,2015-03-09,2
305,White,2015-01-09,2
306,,2015-05-03,2
307,,2015-04-30,2
308,White,2015-12-01,2
309,Native,2015-09-29,2
310,White,2015-01-11,2
311,White,2015-12-06,2
312,,2015-03-19,2
313,White,2015-10-29,2
314,White,2015-12-09,2
315,,2015-03-13,2
316,White,2015-01-07,2
317,White,2015-12-17,2
318,White,2015-12-24,2
319,Other,2015-12-02,2
320,Native,2015-09-09,2
321,White,2015-11-26,2
322,,2015-05-12,2
323,,2015-05-17,2
324,White,2015-11-21,2
325,White,2015-11-20,2
326,,2015-07-02,2
327,,2015-07-14,2
328,White,2015-11-11,2
329,White,2015-11-10,2
330,White,2015-01-16,2
331,,2015-08-07,2
332,,2015-08-08,2
333,,2015-08-23,2
334,White,2015-11-04,2
335,Native,2015-04-21,2
336,,2015-09-04,2
337,White,2015-05-30,2
338,Black,2015-02-25,2
