,id_x,identifier,title,classification_x,subject,session_identifier,jurisdiction,organization_classification,bill_id,id_y,organization_id,description,date,classification_y,order
83551,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,HB 1443,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,ddf63edb-f23e-4573-888c-a0f438a5902d,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Added Co-Sponsor Rep. William Davis,2021-04-20,[],22
83552,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,HB 1443,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,53cfdec2-1c7c-45c8-a356-1b33ddfcceba,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Added Co-Sponsor Rep. Sam Yingling,2021-04-20,[],23
83553,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,HB 1443,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,88c26bb2-8264-441b-85a8-3b2dabeef70f,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Added Co-Sponsor Rep. Nicholas K. Smith,2021-04-20,[],24
83545,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,HB 1443,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,99e63b13-e78b-4b0c-99fc-8222d2c68a95,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Added Co-Sponsor Rep. LaToya Greenwood,2021-04-20,[],16
35193,ocd-bill/31d53d9d-a663-48d7-9072-572985934b54,HB 1449,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/31d53d9d-a663-48d7-9072-572985934b54,4723a308-eb50-4119-91ce-a5cf4e2ee9f7,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Second Reading - Short Debate,2021-04-20,['reading-2'],6
59779,ocd-bill/8725bf11-e0dc-43ba-85b0-fed4c38bd652,HB 1458,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/8725bf11-e0dc-43ba-85b0-fed4c38bd652,56db5c42-dec7-4b0f-b9de-fe1c0f45b272,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Held on Calendar Order of Second Reading - Short Debate **,2021-04-20,['reading-2'],7
83556,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,HB 1443,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,5bde8184-bae3-4114-9925-8bc0bdd3e300,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,House Floor Amendment No. 2 Referred to Rules Committee,2021-04-20,['referral-committee'],27
91220,ocd-bill/e5c804e9-7c79-4430-aabf-4f0fd1e3cd31,SB 1094,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/e5c804e9-7c79-4430-aabf-4f0fd1e3cd31,46f710df-68de-4b37-a441-99ded5937034,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Senate Floor Amendment No. 1 Assignments Refers to Licensed Activities,2021-04-20,[],10
17024,ocd-bill/c864a489-e621-4794-a2da-2f1c28d5428b,SB 1091,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/c864a489-e621-4794-a2da-2f1c28d5428b,318054c8-f64a-4182-9eff-6b2ba3e81064,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Added as Co-Sponsor Sen. Mike Simmons,2021-04-20,[],12
126627,ocd-bill/de847b5f-0a51-4558-b888-db8f8b90e4a7,HB 1480,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/de847b5f-0a51-4558-b888-db8f8b90e4a7,228fe89b-d5a2-4238-b99a-49c797ef8998,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Held on Calendar Order of Second Reading - Short Debate **,2021-04-20,['reading-2'],7
126626,ocd-bill/de847b5f-0a51-4558-b888-db8f8b90e4a7,HB 1480,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/de847b5f-0a51-4558-b888-db8f8b90e4a7,8b179cbf-d05f-4b9d-8dfb-eea01d3b0177,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Second Reading - Short Debate,2021-04-20,['reading-2'],6
35194,ocd-bill/31d53d9d-a663-48d7-9072-572985934b54,HB 1449,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/31d53d9d-a663-48d7-9072-572985934b54,42386c21-e9bd-4aca-ac70-208f9d155869,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Held on Calendar Order of Second Reading - Short Debate **,2021-04-20,['reading-2'],7
116068,ocd-bill/6512c14f-5ef0-4744-ac02-161a3ea78a37,HB 1490,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/6512c14f-5ef0-4744-ac02-161a3ea78a37,f49045e2-3796-4fd6-b168-5d729db8b799,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Held on Calendar Order of Second Reading - Short Debate **,2021-04-20,['reading-2'],7
116067,ocd-bill/6512c14f-5ef0-4744-ac02-161a3ea78a37,HB 1490,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/6512c14f-5ef0-4744-ac02-161a3ea78a37,5cc7b98a-cb9b-4883-bc3b-390d94c7dfd4,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Second Reading - Short Debate,2021-04-20,['reading-2'],6
83563,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,HB 1443,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,1f39b66a-9f82-4865-9e94-bc7f328d3019,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Remove Chief Co-Sponsor Rep. Sonya M. Harper,2021-04-20,[],34
59778,ocd-bill/8725bf11-e0dc-43ba-85b0-fed4c38bd652,HB 1458,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/8725bf11-e0dc-43ba-85b0-fed4c38bd652,450d7b02-a299-40b2-a3f2-c9eb0ec0a063,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Second Reading - Short Debate,2021-04-20,['reading-2'],6
83562,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,HB 1443,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,87cee3f8-976e-48ae-b39b-8cc985ba7d28,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Removed Co-Sponsor Rep. Mary E. Flowers,2021-04-20,[],33
83560,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,HB 1443,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,4ca99367-d7fd-457b-a317-4142683fea36,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Added Co-Sponsor Rep. Kelly M. Cassidy,2021-04-20,[],31
27833,ocd-bill/38c08b9d-12a7-4331-9e58-0e71cccbe770,HB 1482,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/38c08b9d-12a7-4331-9e58-0e71cccbe770,a5579179-b31b-4a37-b77b-ff637891188e,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Second Reading - Short Debate,2021-04-20,['reading-2'],6
