,id_x,identifier,title,classification_x,subject,session_identifier,jurisdiction,organization_classification,bill_id,id_y,organization_id,description,date,classification_y,order
65324,ocd-bill/395d63ff-9803-4657-be0b-b9bfd2695f07,HB 250,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/395d63ff-9803-4657-be0b-b9bfd2695f07,af7d4c89-8509-46f3-8a26-3bb972074804,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,"Filed with the Clerk by Rep. Lawrence Walsh, Jr.",2021-01-25,['filing'],0
19482,ocd-bill/35b01071-c9be-4514-b28f-70637eb706d2,HB 248,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/35b01071-c9be-4514-b28f-70637eb706d2,60cbf45f-efc0-4e36-a26a-283f701067e9,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,"Filed with the Clerk by Rep. Lawrence Walsh, Jr.",2021-01-25,['filing'],0
4256,ocd-bill/670c86b2-3592-4af6-be73-bffc60c4a513,HB 249,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/670c86b2-3592-4af6-be73-bffc60c4a513,53169960-a9cd-46f1-919c-fb4783783664,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,"Filed with the Clerk by Rep. Lawrence Walsh, Jr.",2021-01-25,['filing'],0
2950,ocd-bill/2f06b3de-9ecb-481d-a1e4-304abf9d6bea,HB 252,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/2f06b3de-9ecb-481d-a1e4-304abf9d6bea,d4d190fe-2e2b-4c24-8f82-7a93ef504738,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,"Filed with the Clerk by Rep. Lawrence Walsh, Jr.",2021-01-25,['filing'],0
779,ocd-bill/b66d886c-4cf3-4ae1-8406-f36ab16d1bb4,SB 68,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/b66d886c-4cf3-4ae1-8406-f36ab16d1bb4,69cc9a87-91fc-4d86-b29d-cac6a3b796a4,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Filed with Secretary by Sen. Neil Anderson,2021-01-29,['filing'],0
65326,ocd-bill/395d63ff-9803-4657-be0b-b9bfd2695f07,HB 250,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/395d63ff-9803-4657-be0b-b9bfd2695f07,1e7ec11f-03a0-4911-b0af-8b4c86eaad37,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Referred to Rules Committee,2021-01-29,['referral-committee'],2
65325,ocd-bill/395d63ff-9803-4657-be0b-b9bfd2695f07,HB 250,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/395d63ff-9803-4657-be0b-b9bfd2695f07,12f9330e-f11d-4d44-a426-fb5a923869d7,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,First Reading,2021-01-29,['reading-1'],1
61939,ocd-bill/2f8262ef-c7a8-4181-95d3-f093f1b50d59,SB 37,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/2f8262ef-c7a8-4181-95d3-f093f1b50d59,42382599-ef00-49d9-b1d0-a790c9d4a474,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Referred to Assignments,2021-01-29,['referral-committee'],2
61938,ocd-bill/2f8262ef-c7a8-4181-95d3-f093f1b50d59,SB 37,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/2f8262ef-c7a8-4181-95d3-f093f1b50d59,1e237e91-1bc4-4bd9-ab3b-98be6dcf1440,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,First Reading,2021-01-29,['reading-1'],1
61937,ocd-bill/2f8262ef-c7a8-4181-95d3-f093f1b50d59,SB 37,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/2f8262ef-c7a8-4181-95d3-f093f1b50d59,a7b6e38e-ec45-4090-99f5-2515c22e81ad,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Filed with Secretary by Sen. Don Harmon,2021-01-29,['filing'],0
5225,ocd-bill/61785e54-1b67-49cf-acc5-369a69b01112,SB 26,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/61785e54-1b67-49cf-acc5-369a69b01112,a2b0f9d1-6b91-43a9-a495-1992a3e1c62e,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Referred to Assignments,2021-01-29,['referral-committee'],2
5224,ocd-bill/61785e54-1b67-49cf-acc5-369a69b01112,SB 26,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/61785e54-1b67-49cf-acc5-369a69b01112,c13cc58c-6690-4616-a353-4439ae518eb4,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,First Reading,2021-01-29,['reading-1'],1
4258,ocd-bill/670c86b2-3592-4af6-be73-bffc60c4a513,HB 249,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/670c86b2-3592-4af6-be73-bffc60c4a513,128d4b3c-fcba-43a6-a8a8-20122622da17,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Referred to Rules Committee,2021-01-29,['referral-committee'],2
4257,ocd-bill/670c86b2-3592-4af6-be73-bffc60c4a513,HB 249,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/670c86b2-3592-4af6-be73-bffc60c4a513,8727c9b0-8879-4944-87b7-de3fdb4ea89d,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,First Reading,2021-01-29,['reading-1'],1
2952,ocd-bill/2f06b3de-9ecb-481d-a1e4-304abf9d6bea,HB 252,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/2f06b3de-9ecb-481d-a1e4-304abf9d6bea,a65fd5f2-f5fe-499e-bdc1-644fa0dea8c5,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Referred to Rules Committee,2021-01-29,['referral-committee'],2
2951,ocd-bill/2f06b3de-9ecb-481d-a1e4-304abf9d6bea,HB 252,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/2f06b3de-9ecb-481d-a1e4-304abf9d6bea,276fa56a-1a4e-4093-83c6-2e6e7217d591,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,First Reading,2021-01-29,['reading-1'],1
5223,ocd-bill/61785e54-1b67-49cf-acc5-369a69b01112,SB 26,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/61785e54-1b67-49cf-acc5-369a69b01112,25fb623f-ef19-4998-9f86-ec6ef6101e36,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Filed with Secretary by Sen. Don Harmon,2021-01-29,['filing'],0
780,ocd-bill/b66d886c-4cf3-4ae1-8406-f36ab16d1bb4,SB 68,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/b66d886c-4cf3-4ae1-8406-f36ab16d1bb4,66475045-fcf1-4afe-b8d6-14a853a2a6e5,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,First Reading,2021-01-29,['reading-1'],1
781,ocd-bill/b66d886c-4cf3-4ae1-8406-f36ab16d1bb4,SB 68,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/b66d886c-4cf3-4ae1-8406-f36ab16d1bb4,d9b015e1-b867-41f8-a201-056adfcca5de,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Referred to Assignments,2021-01-29,['referral-committee'],2
19483,ocd-bill/35b01071-c9be-4514-b28f-70637eb706d2,HB 248,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/35b01071-c9be-4514-b28f-70637eb706d2,53fa337e-111e-4fbd-9ee1-387646496760,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,First Reading,2021-01-29,['reading-1'],1
19484,ocd-bill/35b01071-c9be-4514-b28f-70637eb706d2,HB 248,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/35b01071-c9be-4514-b28f-70637eb706d2,e1dea270-8181-473e-8c78-f1398d94da13,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Referred to Rules Committee,2021-01-29,['referral-committee'],2
127735,ocd-bill/673b3d20-3c28-4536-9632-58f732f0db9c,SB 128,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/673b3d20-3c28-4536-9632-58f732f0db9c,698254ff-dfcb-484c-89fe-5b87e9c1029d,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Referred to Assignments,2021-02-03,['referral-committee'],2
127733,ocd-bill/673b3d20-3c28-4536-9632-58f732f0db9c,SB 128,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/673b3d20-3c28-4536-9632-58f732f0db9c,0632768d-fd07-4472-9b91-b88eddd974a7,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,"Filed with Secretary by Sen. Emil Jones, III",2021-02-03,['filing'],0
127734,ocd-bill/673b3d20-3c28-4536-9632-58f732f0db9c,SB 128,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/673b3d20-3c28-4536-9632-58f732f0db9c,2b29f63d-5581-414f-9ddc-ec1cf93d3188,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,First Reading,2021-02-03,['reading-1'],1
18352,ocd-bill/c4506725-c70e-46eb-967c-8778d538d818,HB 632,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/c4506725-c70e-46eb-967c-8778d538d818,c95f8cc6-d8ca-484e-be8b-99455f688015,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Kambium Buckner,2021-02-04,['filing'],0
76114,ocd-bill/f7bf31e3-8219-4b17-be9f-3864afbffbf7,HB 650,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/f7bf31e3-8219-4b17-be9f-3864afbffbf7,6503d871-afa4-4b53-97bf-e814200ca11c,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Denyse Wang Stoneback,2021-02-04,['filing'],0
58066,ocd-bill/60bce748-3f48-4e82-94ea-63158b0d0893,HB 631,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/60bce748-3f48-4e82-94ea-63158b0d0893,b95308a7-2185-47a8-a51b-f790543dd4d6,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Deb Conroy,2021-02-04,['filing'],0
88234,ocd-bill/d809a50b-7297-42e7-aeb5-f460dace7e66,HB 660,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/d809a50b-7297-42e7-aeb5-f460dace7e66,a285dd96-3a5d-4640-9f5a-24f7f9820dc9,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,"Filed with the Clerk by Rep. Lawrence Walsh, Jr.",2021-02-05,['filing'],0
22824,ocd-bill/af8cebee-e916-4e47-be85-846735a7d5ec,HB 690,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/af8cebee-e916-4e47-be85-846735a7d5ec,bdb7aa6b-a874-455f-8488-825f0b73f79e,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Lakesia Collins,2021-02-05,['filing'],0
58067,ocd-bill/60bce748-3f48-4e82-94ea-63158b0d0893,HB 631,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/60bce748-3f48-4e82-94ea-63158b0d0893,c604422f-9e79-46ab-85e4-b7c9dcd54bd9,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,First Reading,2021-02-08,['reading-1'],1
58068,ocd-bill/60bce748-3f48-4e82-94ea-63158b0d0893,HB 631,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/60bce748-3f48-4e82-94ea-63158b0d0893,f5c8dda2-1325-4261-890b-801d55935610,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Referred to Rules Committee,2021-02-08,['referral-committee'],2
88236,ocd-bill/d809a50b-7297-42e7-aeb5-f460dace7e66,HB 660,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/d809a50b-7297-42e7-aeb5-f460dace7e66,0f43126e-566b-43a8-9615-529cb9592da1,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Referred to Rules Committee,2021-02-08,['referral-committee'],2
88235,ocd-bill/d809a50b-7297-42e7-aeb5-f460dace7e66,HB 660,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/d809a50b-7297-42e7-aeb5-f460dace7e66,1099b0b3-5809-4a18-9c40-93a815b0e61b,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,First Reading,2021-02-08,['reading-1'],1
22826,ocd-bill/af8cebee-e916-4e47-be85-846735a7d5ec,HB 690,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/af8cebee-e916-4e47-be85-846735a7d5ec,05deb48c-24cc-4520-97b2-1db9893d74cc,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Referred to Rules Committee,2021-02-08,['referral-committee'],2
18354,ocd-bill/c4506725-c70e-46eb-967c-8778d538d818,HB 632,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/c4506725-c70e-46eb-967c-8778d538d818,127b4fb4-723e-4b81-882d-c495809e25fd,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Referred to Rules Committee,2021-02-08,['referral-committee'],2
18353,ocd-bill/c4506725-c70e-46eb-967c-8778d538d818,HB 632,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/c4506725-c70e-46eb-967c-8778d538d818,a9d15a7f-974c-49c3-a90e-5063322a3a6a,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,First Reading,2021-02-08,['reading-1'],1
76116,ocd-bill/f7bf31e3-8219-4b17-be9f-3864afbffbf7,HB 650,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/f7bf31e3-8219-4b17-be9f-3864afbffbf7,72131ce1-5cc5-4e3a-a7ad-87975dc624c6,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Referred to Rules Committee,2021-02-08,['referral-committee'],2
76115,ocd-bill/f7bf31e3-8219-4b17-be9f-3864afbffbf7,HB 650,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/f7bf31e3-8219-4b17-be9f-3864afbffbf7,39c28de3-8e7d-4ea9-8feb-116d917b85f2,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,First Reading,2021-02-08,['reading-1'],1
20771,ocd-bill/2cc5745b-6ad0-4c13-804b-c51d03ac015e,HB 744,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/2cc5745b-6ad0-4c13-804b-c51d03ac015e,e60f4030-4dea-4757-9235-7de89e96b2b6,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,"Filed with the Clerk by Rep. Lawrence Walsh, Jr.",2021-02-08,['filing'],0
22825,ocd-bill/af8cebee-e916-4e47-be85-846735a7d5ec,HB 690,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/af8cebee-e916-4e47-be85-846735a7d5ec,12e314fb-8597-4068-8396-edee2537e5cd,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,First Reading,2021-02-08,['reading-1'],1
108675,ocd-bill/0e364665-b262-4a2a-8f82-eb2e598cd2c9,SB 141,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/0e364665-b262-4a2a-8f82-eb2e598cd2c9,def1eab8-d82a-4590-88dc-90acc27cb7ae,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Referred to Assignments,2021-02-09,['referral-committee'],2
108673,ocd-bill/0e364665-b262-4a2a-8f82-eb2e598cd2c9,SB 141,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/0e364665-b262-4a2a-8f82-eb2e598cd2c9,22e3b18b-9c27-4815-b074-6f9c58681279,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Filed with Secretary by Sen. Laura M. Murphy,2021-02-09,['filing'],0
25720,ocd-bill/340912bf-d6f5-4f10-a73d-5f4c28ac18c9,HB 810,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/340912bf-d6f5-4f10-a73d-5f4c28ac18c9,6f562ca4-01dc-4681-bb4c-1c2a1028bbba,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Jay Hoffman,2021-02-09,['filing'],0
108674,ocd-bill/0e364665-b262-4a2a-8f82-eb2e598cd2c9,SB 141,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/0e364665-b262-4a2a-8f82-eb2e598cd2c9,e15cb072-0213-4072-a0ac-9e541ed7f3cc,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,First Reading,2021-02-09,['reading-1'],1
25721,ocd-bill/340912bf-d6f5-4f10-a73d-5f4c28ac18c9,HB 810,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/340912bf-d6f5-4f10-a73d-5f4c28ac18c9,96e1952d-33fd-4d91-bc15-173a52261ef1,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,First Reading,2021-02-10,['reading-1'],1
25722,ocd-bill/340912bf-d6f5-4f10-a73d-5f4c28ac18c9,HB 810,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/340912bf-d6f5-4f10-a73d-5f4c28ac18c9,8cf3d017-ffab-4d9e-936f-45f25af2ae5b,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Referred to Rules Committee,2021-02-10,['referral-committee'],2
20772,ocd-bill/2cc5745b-6ad0-4c13-804b-c51d03ac015e,HB 744,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/2cc5745b-6ad0-4c13-804b-c51d03ac015e,21fe717a-01be-4257-851a-876f09c1786d,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,First Reading,2021-02-10,['reading-1'],1
20773,ocd-bill/2cc5745b-6ad0-4c13-804b-c51d03ac015e,HB 744,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/2cc5745b-6ad0-4c13-804b-c51d03ac015e,c6aaca76-ec9e-4e2d-83e1-499b40544b24,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Referred to Rules Committee,2021-02-10,['referral-committee'],2
33574,ocd-bill/f3fe5af7-db01-4565-b523-5d8b7314bf5c,HB 1491,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/f3fe5af7-db01-4565-b523-5d8b7314bf5c,d59efb9c-c42a-407f-aba6-fb2d8799af3f,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
34224,ocd-bill/b1d8d84f-78ee-4bd8-9d6f-4f35461fe9e5,HB 1444,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/b1d8d84f-78ee-4bd8-9d6f-4f35461fe9e5,1da183ee-5010-4f27-9920-7e2276d43900,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
86219,ocd-bill/7b390236-d444-48a0-bb27-92a99e13a0d0,HB 1485,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/7b390236-d444-48a0-bb27-92a99e13a0d0,c6006691-f6d7-4745-ba88-085448664c17,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
82575,ocd-bill/0997cc89-e932-4b6f-b40a-7f9af7392865,HB 1450,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/0997cc89-e932-4b6f-b40a-7f9af7392865,c3ba597c-7cba-468f-90d9-df98539942bd,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
82197,ocd-bill/943f9aef-6f0e-478e-80ad-995c79a99350,HB 1479,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/943f9aef-6f0e-478e-80ad-995c79a99350,1a20dbd6-095f-4f93-8f3b-57f81468ce5b,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
108383,ocd-bill/8078447b-a7c5-4268-ad9b-168394101200,HB 1483,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/8078447b-a7c5-4268-ad9b-168394101200,486198c7-2653-447f-989a-7a4741ba37c4,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
108550,ocd-bill/ed6a399f-950d-4617-9db7-901ba53aaced,HB 1474,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/ed6a399f-950d-4617-9db7-901ba53aaced,c5599235-6296-4d64-8ed6-d1a34f54b027,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
82832,ocd-bill/3e77291d-3dfe-449b-82b6-ffdb1f5fd59d,HB 1464,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/3e77291d-3dfe-449b-82b6-ffdb1f5fd59d,ad33e61f-f38f-4216-8ee3-e6e8f3d25726,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
91794,ocd-bill/41764905-f60e-4e3a-a5c3-2724fc7c2dcb,HB 1481,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/41764905-f60e-4e3a-a5c3-2724fc7c2dcb,1a84de2d-6f1a-4a9e-bb14-ccbd1c143684,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
57512,ocd-bill/9dac2b47-cbad-4bdf-b6fb-794c36269ad6,HB 1467,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/9dac2b47-cbad-4bdf-b6fb-794c36269ad6,0cb5a441-74a0-49d0-a9a2-8b5af32f6348,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
51004,ocd-bill/e8a6c68e-d40e-4bc7-af5f-96634b478d62,HB 1476,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/e8a6c68e-d40e-4bc7-af5f-96634b478d62,3e2d22ce-2e39-430a-8c91-8cc5b8a65f29,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
109766,ocd-bill/fc376e0a-c9b1-4236-874d-835158e6c445,HB 1454,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/fc376e0a-c9b1-4236-874d-835158e6c445,0a610c6a-4276-4618-9963-c72fd9012a3f,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
81942,ocd-bill/faed72f9-dbc8-4030-a76f-668ab18c4d62,HB 1455,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/faed72f9-dbc8-4030-a76f-668ab18c4d62,5a85feac-137e-4a1b-84f2-a9a2a3a26b8c,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
34431,ocd-bill/60754a95-6d5e-4150-b06d-f7ba110e2917,HB 1489,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/60754a95-6d5e-4150-b06d-f7ba110e2917,f2199933-a46d-4edb-905b-a3c446de3e40,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
126620,ocd-bill/de847b5f-0a51-4558-b888-db8f8b90e4a7,HB 1480,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/de847b5f-0a51-4558-b888-db8f8b90e4a7,e6f40c63-bec7-43f7-a839-2e7a66afbc7b,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
76605,ocd-bill/02648e8a-7ffe-4209-be8b-38ddc0c4f6e7,HB 1477,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/02648e8a-7ffe-4209-be8b-38ddc0c4f6e7,ae115313-93d8-4124-9991-0b64d3b680e9,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
105214,ocd-bill/06a6aabb-2481-4faf-ba41-df514a609a14,HB 1446,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/06a6aabb-2481-4faf-ba41-df514a609a14,2399755e-e7b7-4cc8-aed6-133b4e6d3fd3,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
83529,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,HB 1443,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,62d8b44f-eb34-4a7c-80d4-b7ed400063b3,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
20414,ocd-bill/101f2dec-108c-4974-8708-f7d2fff675b8,HB 1472,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/101f2dec-108c-4974-8708-f7d2fff675b8,6662130b-2247-4387-bed8-91584df318f5,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
104686,ocd-bill/98056e17-cd66-4c60-9eb4-749347a18ae5,HB 1487,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/98056e17-cd66-4c60-9eb4-749347a18ae5,2a854324-d6eb-4560-8220-541f8a9ba9aa,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
34550,ocd-bill/7d4060f6-0a93-4b29-a4e6-1836f663a33f,HB 1465,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/7d4060f6-0a93-4b29-a4e6-1836f663a33f,7f692953-2fb1-4daa-a3fe-80c3758f8473,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
104120,ocd-bill/329129d2-8587-4455-a29a-ce1a610e4523,HB 1442,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/329129d2-8587-4455-a29a-ce1a610e4523,845b8aff-b27e-411e-8e35-c4eb8d503084,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Filed with the Clerk by Rep. Emanuel Chris Welch,2021-02-11,['filing'],0
